@relation 1_1

@attribute Text_data String
@attribute Classification {?,Cons,Pros}

@data
'RED color - battery life terrible and adaptor/recharger is extra',Cons
'bulky, poor battery life, screen not visible in sunlight',Cons
'Inexpensive, Great black and white output',Pros
'doesn\'t play games like its big brothers',Cons
'Ease of use, Great, inexpensive storage media, EXCELLENT fit for serious amateur',Pros
'Great price and features',Pros
'good quality, quick printing for IJ',Pros
'cheap,',Pros
'Borderless, durable ink, USB &amp; parallel, easy setup, on-screen ink monitor, decent photos',Pros
'not for novices',Cons
'Serial interface, strange battery',Cons
'Bulky, not free-standing when folded',Cons
'RAW format not supported in automatic modes.  No spotmeter.',Cons
'Inexpensive, sleek looking',Pros
'excellent camera, great size, GREAT pictures!',Pros
'Costly cartridges ($30 vs. $20 for Epson)',Cons
'Built in camera, many other great features, style, and great reception.',Pros
'Doesn\'t work. Screen flickers. Calls are randomly disconnected.',Cons
Nothing,Pros
'Proprietary Memory Stick Media is EXPENSIVE, serial cable sux, 15 sec movie limit',Cons
'Flimsy construction on the earpiece speaker',Cons
'Ease of use. IBM microdrive support Instant gratification Capable of good quality pictures',Pros
'ease, convienence',Pros
'none at this time',Cons
'solid light good looking',Pros
'great picture',Pros
'The menus are a little bit annoying',Cons
'hard to change settings from e-mail to regular photos',Cons
'None come to mind.',Cons
'Works hard and does it\'s job perfectly.',Pros
'Size, Bright Light, Add Ons',Pros
'fragile, stock memory card is not sufficient, short battery life',Cons
'Very Easy to Use.',Pros
'Great megapixels, easy to use and upload, smallest digital camera in the market',Pros
'A little Slow. Uses ink up fast',Cons
'Screen not pretty, sometimes hangs mid-call',Cons
'Price, 640X480 mode good',Pros
'Screen problems.  Don\'t get this phone.',Cons
'Ease of use, great pictures and looks hot',Pros
'Prints outstanding photos',Pros
'advanced features, color',Pros
'Excellent print quality for an ink jet. fairly compact with a fold-up paper tray.',Pros
'Wish zoom control on top; on/off switch part of mode dial (like Canon EOS)',Cons
'&lt;b&gt;Loves&lt;/b&gt; to print text...I got it cheap...includes good software',Pros
'cost a lot',Cons
'Phone / PDA in 1 / sturdy / sound quality Nice',Pros
'can\'t get wallpaper or tones, keypad, buttons stick or hard to push.',Cons
'extremely poor design. too many flaws to list - stay away',Cons
?,Cons
'should have bought it sooner',Cons
'Compact and well-featured',Pros
'Large, bulky, crooked paper feed, flimsy output tray',Cons
'somewhat flimsy cover, no PC connection',Cons
'Great integration between phone & pda',Pros
'Jams tough to unjam, doesn\'t handle thick stock well, sometimes feeds paper at an angle',Cons
none,Cons
'Terrible sound quality.  Had problem with 1GB memory card.',Cons
'Really cool features, voice dialing, better games, customize-able menus',Pros
'AWFUL, AWFUL, AWFUL menu system.',Cons
'slow shutter, large pics a little fuzzy',Cons
'Not many',Cons
'Good features vs. price',Pros
'a lot, see my comments',Cons
'The rechargeable batteries are expensive. (But you only need two!)',Cons
'Weak reception, needs frequent recharging and rather boring.',Cons
'Low resolution; Casio is non-responsive.',Cons
'none so far',Cons
'Compact traveling size.',Pros
'camera button on the side, arrangement of keypad',Cons
'Faulty signal issues. Low earpiece volume. Annoying synch issues with Vibrate and Ring.',Cons
'Size, Features, Sound Quality, Battery Life, Reception, Voice Dial, Menu',Pros
'miss not having a lcd viewfinder',Cons
'integrated camera; solid speakerphone; 65,000-color internal display; Bluetooth; works with PC and Mac.',Pros
'Superior quality',Pros
'Lightweight, lot\'s of cool features for a great price!',Pros
cost,Cons
'View window, ease of use, clear pictures, 6x optical zoom',Pros
'no sync cable/few accesories for phone',Cons
'Flip comes off, dropped calls, bad reception',Cons
'somewhat expensive, battery life isn\'t that long (talktime)',Cons
NONE,Pros
'my item arrived damaged the first time',Cons
'Tempermental with AC adapter, picky about lighting conditions',Cons
'2 MEGAPixel camera, excellent night shots',Pros
'basic model - no frills',Cons
'Multiple technical  problems, unreliable',Cons
'small and cheap',Cons
'Aesthetics, Design',Cons
'Has lasted a few years',Pros
'Doesn\'t like envelopes and wish it had greater paper tray capacity.',Cons
'Good picture quality&amp;#13;&amp;#10;size&amp;#13;&amp;#10;large LCD display',Pros
'Maneuverability, can fit most infant carriers, easy assembly',Pros
'Slim, good display, full featured to the max',Pros
'Cool phone with laptop connectivity kit',Pros
Good,Pros
'Compact size. Excellent print quality.  Fast copying and printing except color.',Pros
'Great TIFF\'s,Hot Shoe,Optical Zoom,2.3M-pixels',Pros
'Fast, quality printing, scanning, and copying!',Pros
'Cost. Reliable. OS 10.2 and Linux support. Fantastic!',Pros
'Easy to use.  Easy to upload to Mac.',Pros
'Weak flash, some surprisingly unpredictable results, LCD-only viewfinder.',Cons
'Unacceptably low battery life from standard AA batts, does not include AC Adapter.',Cons
'3.5 FD Storage, 10X Zoom, 2 hour Battery life',Pros
'Inexpensive, good quality sound',Pros
'Low cost and operation cost with HP quality printing.',Pros
'Looks, audio clarity, battery duration, handsfree/radio, suits my requirements.',Pros
'Sturdy, Shortcut key is nice',Pros
'So far I haven\'t found any.',Cons
'No flashy features, long address book',Cons
'Overexposed flash, sometimes arcane pushbuttons and menus.',Cons
'Excellent quality pictures,NiMh battery operation,USB interface. This is a must camera for vacations as you can take hundreds of pictures on a 64M CF card.Couldn\'t imagine doing this on a Sony which uses floppy disks.',Pros
'Ultraslim aluminum metal case, bright display, Bluetooth, loud speakerphone, internal antenna',Pros
'Close-up capability',Cons
'6x zoom, lightweight, compact, great software',Pros
'Cumbersome to view pictures and download, high blurriness probability.',Cons
'price and the look',Pros
'Sony Brand Name, small, light, memory stick, sharp pictures, easy photo review.',Pros
'Sturdy, easy to steer &amp; clean, trendy, light',Pros
'not as fast as you may want, poor text print',Cons
'Inexpensive Photo Quality',Pros
'Not a great camera but who cares.',Cons
'Slightly large, battery life short for a Nokia, headset, power button location',Cons
'Nice looking design, Super easy to use, easy to install',Pros
'Cartridges are expensive.',Cons
'Very poor battery life, runs out during the course of my normal day',Cons
'Buttons are very hard to push&#13;&#10;Hard to change casings',Cons
'Tough, Great Quality, Great Features, Awesome!',Pros
'Light Weight, Stylish, Alluminum paint finish',Pros
'Amazing features, photos, and convenience.',Pros
'SLOW, INFERIOR SIGNAL RECEPTION, POOR COLOR DISPLAY, POOR ERGONOMICS, QUIET RING TONES, AND MUCH MORE.',Cons
'short life ink cartridges, leaks, false \'empty\' messages, printhead fails [expen$ive]',Cons
'Quality of print, speed and dual print trays.',Pros
'Smallish buttons, three-bar battery level display',Cons
price,Pros
'Size/weight, illuminated keypad and screen, internal antenna, features, apparent durability.',Pros
'usb connection needed',Cons
'Easy to break down',Pros
'Easy to use, takes great pictures.',Pros
'The serial Link is slow. The packaged software is particular.',Cons
'Color, fast, ease of use',Pros
'Very inexpensive, good pictures, fairly easy to use',Pros
'Lots of features, lots of battery life',Pros
'expensive, large size can make in hard to move',Cons
'Easy to use, great pictures',Pros
'no zoom, no brace.....',Cons
none,Cons
'has some problems with excel spreadsheets',Cons
'LCD Displays Don\'t Function in Bright Light, Poor Speaker Phone, Data Port Cover',Cons
'Gobs o\' features can be a little overwhelming at first.',Cons
'Glass LCD screen (but most Palms seem to have that)',Cons
'A speaker phone for Alltel customers.  Other nice ideas.',Pros
'Affordable, good quality',Pros
'Noisy at start up and no USB port.',Cons
none,Cons
'Expensive ink, , Pictures don\'t last long',Cons
'No U.S.B. cable; Flimsy front lens cover',Cons
'Efficient, Reliable, Attractive',Pros
'Small size, super clear calls, clever flip design',Pros
'Can\'t think of one!',Cons
'Noisy and Power Hog.',Cons
'ink cartridges are so expensive you could practically buy a new printer',Cons
'Reasonable price, quick, quiet',Pros
'Good Multifunction, solid performer - when it works',Pros
'Red Eye',Cons
'Great phone!! No Problems!! Nice features!',Pros
'does almost anything',Pros
'Menus are small.',Cons
'good looking, light weight',Pros
'Two-way, paging and cellular all in one.',Pros
'Looks good!!!',Pros
none,Pros
'ringer, no blue tooth, internet',Cons
'Great Resolution',Pros
'No LCD display, no flash',Cons
'Contoured Design, Print Rate',Pros
'does not work with linux',Cons
'vibrate, voice name dialing',Cons
'Phone first, PDA second. Solid feel to phone. PDA is true to Palm',Pros
'no E-911 support, so Verizon refuses to activate them now; no loadable ringtones',Cons
'extremely versatile, best print quality on portable printer market, small and lightweight',Pros
'Small, nice solid flip, lots of features.',Pros
everything,Cons
'Perfect images, Simple to use.',Pros
'Lack of Optical Zoom (it\'s a pricey feature)',Cons
'Durability and call quality',Pros
'Speakerphone, two-way radio, e-connections (text pages, web capable, etc).',Pros
'Cheap, good quality prints (for the price), fast',Pros
'Don\'t have any at this time!',Cons
'no sound on video capture... small memory card',Cons
'Easy to use, lots of photos, good quality, easy transfer to computers.',Pros
'The palm portion works great.',Pros
'Fast and clean.&amp;#9;',Pros
'Walkie Talkie function is very handy',Pros
'features, features, features, great support,software',Pros
'Product useless, warranty is a joke!',Cons
'Fast, four separate ink cartridges, nice copying features',Pros
'Batteries, WAP/Net can be slow',Cons
'Great pictures, easy to use',Pros
'Small size, clear reception, so easy to use-my technology impaired dad can operate it.',Pros
'Sleek, lightweight, no need to bring a separate camera',Pros
'lag time',Cons
'No USB cable included',Cons
'Great Camera: very reliable and easy to use.  Works with all computers even macs.',Pros
'Good camera',Pros
'Good quality, very easy, compact, fast file transfer.',Pros
'very small easy to operate basic functions',Pros
'None yet',Cons
'I can\'t think of any, I guess it could be cheaper.',Cons
'delicate, sometimes doesn\'t work with no reason',Cons
'Convenience, file size, battery life.',Pros
'no case or a/c adapters included, software a little basic',Cons
'Technology is still expensive, disks can be filled fast too, user needs a computer to get all the benefits',Cons
'Reliable, comfortable size, clear sound, 200hrs+ standby, Bluetooth earphones, + so much more',Pros
'fit-shirt-pocket size, reasonable price, pop-up flash, all-aluminium body',Pros
'Lexmark X73 is a multi-function printer/scanner/color copier/fax machine',Pros
'paper jams',Cons
'price, prints, features',Pros
'High dpi (1200x1200)',Pros
'awkward to close, requires setting adjustments EVERY time you turn it on, eats batteries',Cons
'excellent print quality',Pros
'low resolution',Cons
'Scratched the gloss off the photo paper',Cons
'None so far.',Cons
'Epson does not fail with this printer.  It\'s a winner',Pros
'Well, it\'s cheap.',Pros
none,Cons
'good picture quality',Pros
'good quality',Pros
'WIFI buggy. Battery life is sub par. OS updates infrequently released. Camera flash weak.',Cons
'battery life is short, docking station should be part of the package',Cons
'Reliable, high-quality printing at a bargain.',Pros
'Form, comfort, features',Pros
'-Bugs in MP3 player',Cons
'Crap battery life, small screen',Cons
'Inexpensive, high quality prints',Pros
'Non-alphabetized address book',Cons
'Great starter camera. Easy to use plus advanced features.',Pros
'Small, sleek, easy to use and voice-activated dialing.',Pros
'Saves to Convenient 3.5&amp;quot; Disk',Pros
'storage medium, battery life, ease of use',Pros
'None that come close to redeeming the cons',Pros
'Voice quality is horrible, bulky, over sensitive buttons',Cons
'No optical viewfinder, weak flash',Cons
'Ease of Use, Crisp Pictures',Pros
'battery life is important',Cons
'Priced right for a beginner.',Pros
'Poor quality pictures, ugly, bulky, not enough features.',Cons
'Radiation Levels, long menus, 100 Number Memory.',Cons
'A little heavier than I would want but not too heavy',Cons
'breaking antenna, bad reception',Cons
'Small; Nice bright screen; Reliable; Good reception',Pros
'cute, easy to use',Pros
'top quality European stroller, comfortable and plush, easy to control,',Pros
'light, discreet, sleek design, has all basic features, easy to use, durable, decent zoom',Pros
EVERYTHING,Pros
'Small size, 2 megapixels, one button image transfer, Li-Ion rechargeable battery included.',Pros
'Awkward storage basket',Cons
'You control how simple or how complex you want the camera to be.',Pros
'batteries used up very fast, no optical zoom',Cons
'Not ONE!',Pros
'Can lose the lens cap!',Cons
'Simple &amp;amp; easy to use!',Pros
'Bulky, no video camera, texting system',Cons
'Expensive, LCD not usable in sunlight',Cons
'Extended Battery Time, Calculator, Calendar, Phone Memory, Small Size and Weight',Pros
'Small, lightweight, easy to use, and affordable.',Pros
'Incredible ISO rating, easy, cheap, lcd panel',Pros
'none yet',Cons
'bad in low light and action shots',Cons
'Ease of use, regular diskettes, quality',Pros
'lightweight, assembly, back support',Pros
'Needs an extended battery (see review)',Cons
'Small, Light, Easy to use, Excellent Reception',Pros
'No built in Zoom, and only 1 mega-pixel',Cons
'It looks sleek,and offers multifunctions at a very good price.',Pros
'Does not last',Cons
'No direct-connect headset port, dim outter display',Cons
'Great price, excellent performance',Pros
'There really are no cons to this printer',Cons
'View screen instant review. point and shoot, high resolution photos',Pros
'You get what you pay for. Very poorly executed features',Cons
'Bulky. &#13;&#10;Not many bells and whistles.',Cons
'heavy, cup holder doesn\'t stay on well',Cons
'gets warm during use, terrible keys, no extra ringtones',Cons
'Optional AC adapter',Cons
'small, easy to carry',Pros
'Having a hard time downloading the pictures to the computer',Cons
'USB setup is difficult.  Very still cardstock may be a problem.',Cons
SLOW,Cons
'Can\'t take long movies',Cons
'Excellent quality pictures, very easy to use and my first experience with digital photography.',Pros
'Good quality prints!',Pros
'astonishing looks, compact and light weight',Pros
'Features, display, tuner option, form vs function, EVERYTHING',Pros
'Take Anywhere Size with full features',Pros
'Great picture quality, easy to use and many features',Pros
'Individual Color Tanks, Size, Printer Price',Pros
'Small and Light',Pros
'Good interface, is cute and has lots of features.',Pros
'Good reception, battery life, screen, camera, features',Pros
'No included case, movie mode very limited in terms of time.',Cons
'Lots of paper jams',Cons
'Flip style stops your ear from getting red, speakerphone, small size.',Pros
'Quality Pictures; Video Recording; Build Quality; Compact; Extras',Pros
'Does a Great Job',Pros
'Low number of pictures available on high setting',Cons
'Easy to use, great sound, free & a rebate',Pros
'Crisp text, fast ppm',Pros
'Four great features, great printing quality,',Pros
'A bit heavy to carry around all day.',Cons
'Didn\'t come with a printer cable.',Cons
'soft focusing, LCD needed for everything',Cons
'Slow color printing, expensive toner.',Cons
'Color fax ability, scanner, copier',Pros
'Small and portable, soft amber light is amazing.  Good battery life.',Pros
'Lightweight, compact, aesthetically pleasing, text message and email capabilities, multiple numbers per person in phonebook',Pros
'Missed Call\' function, low vibration, and large/heavy phon',Cons
'Sorry, didn\'t find any!',Cons
'Moveable display',Pros
'very noisy. average print quality. a bit slow.',Cons
'Versatile, good quality color images, inexpensive',Pros
'Easy to use.  Great pictures for the price!',Pros
'hard to push and turn',Cons
'lightweight, inexpensive',Pros
'- bad interface',Cons
'Compact size, excellent images, excellent macro focus',Pros
'FM radio, nice backlit screen',Pros
'service with Tracfone is very expensive',Cons
'No external screen, limited ring tones with original phone',Cons
'Photo printing',Cons
'Shutter lag, picture quality (yellow tone), battery life',Cons
'Highly Detailed Prints',Pros
'Easy to use, great price, inexpensive storage media.',Pros
'Feature rich with superb battery life, but weaknesses overshadow strengths significantly.',Pros
none,Cons
'Great good quality printing, doesn\'t take up much space, hardly costs anything.',Pros
'Low Video Resolution, No Manual Features, Weak Battery',Cons
'Heavy, battery life.',Cons
'poor images',Cons
'LOADED with features; No moving parts',Pros
'Easy to change faceplates, easy to use',Pros
'stylish, silver flip phone, camera, voice activated calling.',Pros
'Loud and sometimes slow',Cons
'Beautiful color and vivid detail',Pros
'prints, scans',Pros
'Bigger than the StarTac Digital',Cons
'Great pictures, quick download to my PC (USB connector included)',Pros
'Cheap, light weight and easy to use',Pros
'No vibrate feature.',Cons
'Excellent battery life.',Pros
'Image quality, design, ease of use, good auto and manual mode photos, build quality excellent.',Pros
'Highest Speed and Quality, Phenominal Prints, Exceptionally Low Cost',Pros
'User Interface is terrible, features are not documented well',Cons
'Quality Canon lens, great pictures, quality build and feel.',Pros
'Great quality photos, amazing durability, compact, easy to understand, great image options.',Pros
'included wallpapers, included ringers',Cons
'Size, clamshape design, very small, speakerphone',Pros
'None that I have found!',Cons
bulky,Cons
'None so far for me',Cons
'Price, Low Warm Up Time, Support',Pros
'Expensive Cartridges with anti-refill chip.',Cons
'Stylish, maneuverable, lightweight.  Easy to store',Pros
'None yet...',Cons
'Performance, Ease of use, Memory storage',Pros
'The talk time isnt the best, though I am a phone hog.',Cons
'Great features',Pros
'Great printer, scanner and fax',Pros
'decent printing speed, good quality (black and color), inexpensive',Pros
'clear printing, about average print time',Pros
'Slow, few features, low resolution',Cons
'it\'s a printer',Pros
'TONS of featuresLightweight & smallGreat alternative to a \'smart phone\'',Pros
'Eats up batteries!, Not expandable. Kodak does not have any attachable lenses for this camera',Cons
'cartridge prices',Cons
'No video, no call restrictions,',Cons
'the exet pray is not the best',Cons
'Totally customizable, huge display for a flip, easy usage, features galore',Pros
'Reception, Ringing Tone Volume, Battery Life',Cons
'Excellent print quality, Ease of use, Price is affordable',Pros
'Great zoom capacity, intuitive menu structure, high quality images, great value',Pros
'no preview screen, no flash, only 640x480',Cons
'Expensive cartridges-use refill ink',Cons
'Cheap, durable',Pros
'Great lens, 3.3mp resolution, 3x optical zoom, manual functions.',Pros
'No print density control: prints too light with some fonts.',Cons
'the size but not really a big deal.',Cons
'Compact size, 4 megapixel images, and A great feature set',Pros
'green lid screen.',Cons
'Noise, prone to jams, feeds extra sheets',Cons
'quality and customer service',Cons
none,Cons
'This Vivitar is the worst possible quality',Cons
'wimpy zoom',Cons
'A little steep in price(but worth it)',Cons
'Fast printing speed, good quality, durable',Pros
'User friendly, even my 6 year old can use it.',Pros
'Totally customizable, huge display for a flip, easy usage, features galore',Pros
'Squeeeeeeky, and then some',Cons
'Wheels could be stronger',Cons
'Easy to manuever',Pros
'high price, print quality and speed',Cons
'A memory stick instead of a card.',Cons
'Jams/uses a lot of ink',Cons
'expensive hardware, expensive ink cartridges',Cons
'Incredible value, black text print quality.',Pros
'Sleek, attractive phone. Very good performance.',Pros
'Expensive, but worth it if it\'s used a lot',Cons
'Smallish paper bin.',Cons
'Easy to Use;, Comes with cords and software',Pros
'Was very hard to set up. Still haven\'t gotten it done.',Cons
'Red eye from flash, sometimes lose date &amp;amp; quality selection',Cons
'small, good keys, can be dropped from at least three feet and not break',Pros
'A bit pricey, fax software is clunky.',Cons
'Small initial cost      Instant photos',Pros
'One sitting position',Cons
'Great for email, short videos &amp; conference calling',Pros
'Not a Mega Pixel Camera, Internal Antenna can make holding it tricky...',Cons
'Horrible sound quality, terrible speaker phone, really long power cycle times, pull out antenna',Cons
'PLEASE SAVE YOURSELF AND DO NOT BUY THIS PHONE!!!!!!',Cons
'Small, cute',Pros
'red-eye,which could probably be reduced if I knew better how to take shots',Cons
'Only one color, silver.  Battery life.',Cons
'Software is not compatible with Windows 98SE upgrade.',Cons
'Ink Cartridge Runs Out A Little Too Quickly',Cons
'Doesn\'t have the digital card I would have liked.',Cons
'Reasonably priced with good print quality on most things.',Pros
'Small, and lightweight',Pros
'Not good for organizing, not intuitive enough.',Cons
'Poor photo printing. Jams with envelopes. Ink dries slowly.',Cons
None,Cons
'Size, weight.',Cons
'High quality images, easy to use, point-and-shoot form factor',Pros
'the cover for the plug ins was hard to open',Cons
'Ink cost prohibitive',Cons
'Low battery life.  Gotta look at the instruction manual.',Cons
'A little loud, but worth it.',Cons
'Ultra-compact, very fast, durable, excellent photo quality',Pros
'Uncomfortable for long conversations, temperamental functionality, awkward key sizes.',Cons
'Excellent color output, easy to use, solid color technology',Pros
'antenna, uncomfortable on holster',Cons
'Small, stylish, external caller ID, nice ringers, good battery life',Pros
'size, features, quality',Pros
'Great color, great quality, great service',Pros
'Features, Size',Pros
'Cost and quality',Pros
'Nice printing if you have time to wait.',Pros
'replacement cartridges are expensive, and it use a lot of ink',Cons
'Little things, big problems',Cons
'Crisp dark black text, excellent photo output, very speedy, very small',Pros
'Manual mode, user-selectable ISO, movie mode &amp;#13;&amp;#10;',Pros
'poor picture quality, poor instructions, no picture monitor',Cons
'Great pictures, intuitive interface, easy downloads.',Pros
'Flash sensor STUPIDLY placed too close to shutter finger, slow autofocus',Cons
'I have not found the cons yet.',Cons
'Noisy, sometimes color correction features do not work properly.',Cons
'A reasonably accomplished attempt at building an all-in-one machine.',Pros
'Rugged and durable camera takes quality photos. Now a real bargain at $200 range.',Pros
'slow response',Cons
'Inexpensive, best quality for price, very compact, cool looks',Pros
'Slow, low resolution printing',Cons
'Slightly heavy, larger than other phones. Low battery life.',Cons
'Small (fits in pocket), stylish, color screen, great reception, a real conversation piece',Pros
'very easy to use',Pros
'cheap, good print quality, easy setup, also it works with windows xp',Pros
None,Cons
'Takes a while to learn, smallish screen, slow operation',Cons
'will not take motion pictures',Cons
'ease of use, fast B/W prints, small driver footprint',Pros
'Free (with rebates), fast*, seperate cartridges, can work with color only',Pros
'too monstrous to carry as all-access cell phone',Cons
'slightly slow print time',Cons
'None worth mentioning',Cons
'clear images, not to loud',Pros
'Flatbed scanner, copy, fax, fast printing, Matches my Dell Computer',Pros
'Excellent for sending pictures of the family to other family members around the country.  And it enables you to do so in a matter of minutes, from the time you snap your picture to the time you email it out.',Cons
'There are smaller cameras now.  Flash slow to warm up',Cons
'Rugged, waterproof, droppable, easy to use',Pros
'Excellent image quality, perfectly portable.',Pros
'Ease of use',Cons
'A bit flimsy',Cons
'Ink cartridges don\'t last long, frequent glitches in the print jobs',Cons
'Size is just right.  Loaded with features that most people use.',Pros
'solid construction, battery life, image quality',Pros
'straps hard to adjust, have to remove both adult and child cupholders to fold',Cons
'Ink cartridges are small, may want to look at refilling.',Cons
'Better than sending smoke signals.&#13;&#10;Battery has decent life, good sound quality.',Pros
'Very nice output. Quiet. Paper feed works well. Full-duplex.',Pros
'Price, picture quality, ease of use',Pros
'not many for the money',Cons
'Price and maybe size',Pros
'3.5 floppy goes into any computer, delete bad pics, good 16x zoom',Pros
'Battery life is short if you keep using camera feature',Cons
'Few options, some things are hard to find. The manually is confusing and vague',Cons
'expensive, interface',Cons
'Yikes is it noisy!',Cons
'Easy to operated. Comes ready with AC, black and color cartridges. Hidh res printer.',Pros
'Ergonomically and aesthetically pleasing, more features than Ben & Jerry\'s flavors',Pros
